Properties|Value
Educated at|68387
Nationality|108448
Date_of_birth|135936
Place_of_birth|94275
Date_of_death|77181
Place_of_death|45722
Gender|134650
Doctoral_Advisor|2723
Doctoral_Student|2243
Occupation|135948
Position_held|53688
Work_Location|21498
Field_of_work|3290
Employer|24343
